,tag
90,해외 팝송 해외 팝 사운드클라우드 해외 인디 힙스터 SNS 
91,해외 팝송 해외 팝 그루브한 다크한 퇴폐적인 새벽감성 감각적인 밤 새벽 
92,국내 CCM 찬양 교회 
93,국내 가요 벅차오르는 
94,국내 인디 국내 인디 공허한 싱숭생숭 방안에서 감성적인 지치고 힘들때 위로 코로나 재택근무 
95,국내외 클래식 클래식연주곡 공부할 때 집중 차분한 시험기간 연주곡 힐링 시험 수능 클래식한 
96,국내 가요 행복 
97,해외 기분전환 
98,국내외 가을 초가을 힙스터 
99,국내외 가을 쌀쌀한 날 감성적인 말랑말랑한 선선한 가을밤 
100,해외 팝송 해외 팝 일렉트로닉팝 여름 신나는 드라이브 청량한 기분전환 바다 산책 여행 
101,국내 인디 국내 인디 밤 새벽 몽환적인 여름밤 감성적인 
102,국내 인디 국내 인디 저녁 선선한 가을 초가을 
103,국내 인디 재즈힙합 로파이 Lo-Fi 코로나 재택근무 오후 카페 
104,해외 팝송 해외 팝 가을 선선한 감성적인 
105,국내 국내 랩 힙합 힙합 감성적인 감성힙합 기타 초가을 
106,국내외 힙스터 저녁 작업실 밤 새벽 밤샘작업 
107,국내 인디 국내 인디 밤 새벽 멜랑콜리 싱숭생숭 새벽감성 캠프파이어 캠핑 감성적인 밤바다 
108,해외 락 스트레스 짜증 드라이브 
109,해외 팝송 해외 팝 기분전환 드라이브 시원한 경쾌한 신나는 폭염 더위 일렉트로닉팝 트로피컬 청량한 
110,국내외 하교 퇴근길 
111,국내 알앤비 그루브한 리드미컬한 여름밤 밤 새벽 드라이브 야경 저녁산책 선선한 
112,국내 트로트 성인가요 어르신 명절 추석 고속도로 
113,해외 재즈 카페 노을 저녁 호텔 바 
114,국내 알앤비 힙스터 그루브한 감각적인 초가을 선선한 저녁산책 가을 카페 
115,해외 팝송 해외 팝 감성적인 
116,국내 가요 아이돌 경쾌한 드라이브 
117,국내외 뉴에이지 뉴에이지연주곡 북카페 지치고 힘들때 휴식 명상 
118,국내 인디 국내 인디 이별 슬픔 우울할때 
119,해외 팝송 해외 팝 가을 센치한 칵테일바 저녁 혼술혼밥 노을 멜로우 밤 새벽 가을밤 
120,해외 팝송 해외 팝 감각적인 힙스터 편집숍 매장 
121,국내외 휴식 명상 피아노 피아노연주곡 에스테틱 연주곡 뉴에이지 북카페 힐링 편안한 
122,국내외 드라이브 
123,국내 뉴트로 복고 레트로 이색테마 세부장르 감각적인 
124,국내 인디 국내 인디 선선한 가을 감성적인 밤 새벽 가을밤 
125,해외 알앤비 그루브한 가을 초가을 여름밤 늦여름 밤 새벽 
126,해외 팝송 해외 팝 지치고 힘들때 하교 퇴근길 지하철 버스 취준 수험생 
127,해외 팝송 해외 팝 트렌디한 드라이브 경쾌한 등교 출근길 출근 퇴근길 
128,국내외 팝송 해외 팝 디스코 뉴트로 디스코 리바이벌 경쾌한 리드미컬한 신나는 드라이브 기분전환 
129,해외 팝송 해외 팝 빌보드 Hot100 차트 속 음악 해외차트 
130,국내 가요 X세대 추억 회상 7080세대 
131,국내 가요 지치고 힘들때 사회초년생 자존감 청춘 응원 
132,해외 알앤비 비 흐림 그루브한 팝송 
133,국내 드라마 국내드라마 영화 드라마 SBS 브람스를 좋아하세요? OST 
134,국내 국내 랩 힙합 힙합 알앤비 몽환적인 감성적인 밤 새벽 힙스터 그루브한 목소리 음색 
135,국내외 뉴트로 복고 레트로 드라이브 
136,국내 가요 사랑 기쁨 달달한 연인 커플 고백 노래가사 
